50音順,「ことばリスト」順,見出し,読み,アクセント,"ローマ字
（「入門」のみ）",英訳,品詞,部,課,活動
652,1,おはよう（ございます）,おはよう（ございます）,おはよう（ございま↓す）,ohayoo (gozaimasu),Good morning.,Exp,入門,1,1
1499,2,こんにちは,こんにちは,こんにちは○,konnichiwa,Good afternoon.,Exp,入門,1,1
1502,3,こんばんは,こんばんは,こんばんは○,konbanwa,Good evening.,Exp,入門,1,1
541,7,お先に失礼します,おさきにしつれいします,おさきにしつ↓れいします,osaki ni shitsureeshimasu,Goodbye. (I'll take my leave before you.),Exp,入門,1,2
595,8,お疲れさま（でした）,おつかれさま（でした）,おつかれさま（で↓した）,otsukaresama (deshita),Goodbye. (Thank you for your hard work.),Exp,入門,1,2
695,5,おやすみ（なさい）,おやすみ（なさい）,おやすみ（なさい）○,oyasumi (nasai),Good night. ,Exp,入門,1,2
1685,6,失礼します,しつれいします,しつ↓れいします,shitsureeshimasu,Goodbye.,Exp,入門,1,2
1724,4,じゃあ、また,じゃあ、また,じゃ↓あ、また○,"jaa, mata",See you later.,Exp,入門,1,2
120,10,あめ,あめ,あめ○,ame,candy,N,入門,1,3
128,12,ありがとうございます,ありがとうございます,あり↓がとうございます,arigatoo gozaimasu,Thank you.,Exp,入門,1,3
157,18,いいえ,いいえ,いいえ○,iie,You're welcome.,Exp,入門,1,3
197,22,痛い！,いたい！,いた↓い！,itai !,Ouch！,Exp,入門,1,3
621,16,落としましたよ,おとしましたよ,おとしま↓したよ,otoshimashita yo,You dropped this.,Exp,入門,1,3
1461,21,ごめん,ごめん,ごめん○,gomen,Sorry.,Exp,入門,1,3
1473,9,これ,これ,これ○,kore,this,N,入門,1,3
2074,13,すみません,すみません,すみませ↓ん,sumimasen,Thank you.,Exp,入門,1,3
2075,20,すみません,すみません,すみませ↓ん,sumimasen,I'm sorry.,Exp,入門,1,3
2712,17,どうぞ,どうぞ,ど↓うぞ,doozo,Here you go.,Exp,入門,1,3
2726,15,どうも,どうも,ど↓うも,doomo,Thanks.,Exp,入門,1,3
2727,14,（どうも）ありがとう,（どうも）ありがとう,（ど↓うも）　あり↓がとう,(doomo) arigatoo,Thank you very much.,Exp,入門,1,3
3532,11,プレゼント,プレゼント,プレ↓ゼント,purezento,present,N,入門,1,3
4206,19,わあ,わあ,わあ○,waa,Oh! (expresses surprise),Exp,入門,1,3
674,23,おめでとうございます,おめでとうございます,おめでとうございま↓す,omedetoo gozaimasu,Congratulations.,Exp,入門,1,4
4216,24,わかりました,わかりました,わかりま↓した,wakarimashita,I understand.,Exp,入門,1,4
205,40,1,いち,いち↓,ichi,one,N,入門,2,1
239,35,言ってください,いってください,いってくださ↓い,itte kudasai,Please say ～.,Exp,入門,2,1
648,34,お願いします,おねがいします,おねがいしま↓す,onegaishimasu,Please. ,Exp,入門,2,1
764,37,書いてください,かいてください,か↓いてくださ↓い,kaite kudasai,Please write ～.,Exp,入門,2,1
1073,48,9,きゅう,きゅ↓う,kyuu,nine,N,入門,2,1
1282,44,5,ご,ご↓,go,five,N,入門,2,1
1367,30,ここ,ここ,ここ○,koko,here,N,入門,2,1
1532,29,在留カード,ざいりゅうカード,ざいりゅうカ↓ード,zairyuu-kaado,residence card,N,入門,2,1
1586,42,3,さん,さん○,san,three,N,入門,2,1
1744,49,10,じゅう,じゅ↓う,juu,ten,N,入門,2,1
2143,39,0,ゼロ,ゼ↓ロ,zero,zero,N,入門,2,1
2882,46,7,なな,な↓な,nana,seven,N,入門,2,1
2902,31,名前,なまえ,なまえ○,namae,name,N,入門,2,1
2939,41,2,に,に↓,ni,two,N,入門,2,1
3215,47,8,はち,はち↓,hachi,eight,N,入門,2,1
3571,32,部屋,へや,へや↓,heya,room,N,入門,2,1
3779,36,見せてください,みせてください,み↓せてくださ↓い,misete kudasai,Please show me ～.,Exp,入門,2,1
3871,26,もういちど,もういちど,もういちど○,moo ichido,once more,,入門,2,1
3884,27,もう少し,もうすこし,もうすこ↓し,moo sukoshi,a little.,,入門,2,1
4013,28,ゆっくり,ゆっくり,ゆっく↓り,yukkuri,slowly,,入門,2,1
4044,25,よく,よく,よ↓く,yoku,(not) really,,入門,2,1
4079,43,4,よん,よ↓ん,yon,four,N,入門,2,1
4188,45,6,ろく,ろく↓,roku,six,N,入門,2,1
4217,38,わかりました,わかりました,わかりま↓した,wakarimashita,I understand.,Exp,入門,2,1
4220,33,わかりません,わかりません,わかりませ↓ん,wakarimasen,I do not understand.,Exp,入門,2,1
106,63,あのう,あのう,あのう○,anoo,Um… (used when the speaker wants to start talking to someone),Exp,入門,2,2
302,53,インドネシア語,インドネシアご,インドネシアご○,indoneshiago,Indonesian language,N,入門,2,2
397,51,英語,えいご,えいご○,eego,English language,N,入門,2,2
507,56,お客さん,おきゃくさん,おきゃくさん○,okyakusan,customer (used to address a customer if their name isn't known),N,入門,2,2
1723,62,じゃあ,じゃあ,じゃ↓あ,jaa,Well then…,Exp,入門,2,2
2017,55,少し,すこし,すこ↓し,sukoshi,a little / a few,,入門,2,2
2462,52,中国語,ちゅうごくご,ちゅうごくご○,chuugokugo,Chinese language,N,入門,2,2
2595,59,できます,できます,できま↓す,dekimasu,I can speak / understand it.,Exp,入門,2,2
2596,58,できますか？,できますか？,できま↓すか？,dekimasu ka?,Can you speak it?,Exp,入門,2,2
3008,50,日本語,にほんご,にほんご○,nihongo,Japanese language,N,入門,2,2
3144,54,はい,はい,は↓い,hai,yes,,入門,2,2
3148,61,はい、どうぞ,はい、どうぞ,はい○、ど↓うぞ,"hai, doozo",Here you go.,Exp,入門,2,2
4218,60,わかります,わかります,わかりま↓す,wakarimasu,I understand.,Exp,入門,2,2
4219,57,わかりますか？,わかりますか？,わかりま↓すか？,wakarimasu ka?,Do you understand?,Exp,入門,2,2
380,73,え？,え?,え↓?,e?,Huh? / What? / Pardon?,Exp,入門,2,3
723,70,蚊,か,か○,ka,mosquito,N,入門,2,3
821,67,傘,かさ,か↓さ,kasa,umbrella,N,入門,2,3
1243,66,消しゴム,けしゴム,けしゴム○,keshigomu,eraser,N,入門,2,3
2070,68,スマホ,スマホ,スマホ○,sumaho,smartphone,N,入門,2,3
2197,74,そうそう,そうそう,そ↓う　そ↓う,soo soo,That's right.,Exp,入門,2,3
2918,65,何,なん,な↓ん,nan,what,N,入門,2,3
2928,71,何ですか？,なんですか？,な↓んですか？,nan desu ka?,What is it?,Exp,入門,2,3
2930,72,何と言いますか？,なんといいますか？,な↓んといいま↓すか？,nan to iimasu ka?,What do you call it?,Exp,入門,2,3
3014,64,日本語で,にほんごで,にほんごで○,nihongo de,in Japanese,,入門,2,3
3864,69,免許証,めんきょしょう,めんきょしょう○／めんきょ↓しょう,menkyoshoo,license,N,入門,2,3
938,79,～から来ました,～からきました,～からきま↓した,～kara kimashita,came　from ～,,入門,3,1
972,76,韓国,かんこく,か↓んこく,Kankoku,South Korea,N,入門,3,1
1208,80,来る／来ます,くる／きます,く↓る／きま↓す,kuru / kimas,to come,V［3］,入門,3,1
2266,77,タイ,タイ,タ↓イ,Tai,Thailand,N,入門,3,1
2714,83,（どうぞ）よろしくお願いします,（どうぞ）よろしくおねがいします,（ど↓うぞ）　よろしくおねがいしま↓す,(doozo) yoroshiku onegaishimasu,Nice to meet you.,Exp,入門,3,1
3192,82,はじめまして,はじめまして,はじめま↓して,hajimemashite,Hello. (said when meeting someone for the first time),Exp,入門,3,1
3510,78,ブラジル,ブラジル,ブラジル○,Burajiru,Brazil,N,入門,3,1
3808,75,ミャンマー,ミャンマー,ミャ↓ンマー,Myanmaa,Myanmar,N,入門,3,1
4234,81,私,わたし,わたし○,watashi,I / myself,N,入門,3,1
301,84,インドネシア,インドネシア,インドネ↓シア,Indoneshia,Indonesia,N,入門,3,2
404,97,えーと,えーと,えーと○,eeto,Er… (expresses that the speaker is thinking),Exp,入門,3,3
639,95,同じ,おなじ,おなじ○,onaji,same,,入門,3,3
754,96,会社,かいしゃ,かいしゃ○,kaisha,company,N,入門,3,3
943,100,～からですか？,～からですか？,～から↓ですか？,～kara desu ka?,Are you from ～?,Exp,入門,3,3
997,92,カンボジア,カンボジア,カンボジア○,Kanbojia,Cambodia,N,入門,3,3
1185,89,国／お国,くに／おくに,くに○／おくに○,kuni / okuni,country /  (your) country,N,入門,3,3
1819,86,出身／ご出身,しゅっしん／ごしゅっしん,しゅっしん○／ごしゅっしん○,shusshin / goshusshin,hometown / (your) hometown,N,入門,3,3
2206,98,そうですか,そうですか,そ↓うですか,soo desu ka,I see. (indicates that the speaker has understood what the other person is saying),Exp,入門,3,3
2763,90,どちら,どちら,ど↓ちら,dochira  ,where (polite expression),N,入門,3,3
2764,99,どちらからですか？,どちらからですか？,ど↓ちらから↓ですか？,dochira kara desu ka?,Where are you from?,Exp,入門,3,3
2802,94,友だち,ともだち,ともだち○,tomodachi,friend,N,入門,3,3
2903,85,名前／お名前 ,なまえ／おなまえ,なまえ○／おなまえ○,namae / onamae,name,N,入門,3,3
3260,88,ハノイ,ハノイ,ハ↓ノイ,Hanoi,Hanoi,N,入門,3,3
3451,91,フエ,フエ,フ↓エ,Fue,Hue,N,入門,3,3
3568,87,ベトナム,ベトナム,ベトナム○,Betonamu,Vietnam,N,入門,3,3
3800,93,みなさん,みなさん,みな↓さん,minasan,all of you,N,入門,3,3
864,105,～月　（12月）,～がつ　（じゅうにがつ）,～がつ　（じゅうにがつ○）,～gatsu　(juuni-gatsu),month of the year　(e.g. 12th month = December),,入門,3,4
1364,101,国籍,こくせき,こくせき○,kokuseki,nationality,N,入門,3,4
1772,107,住所,じゅうしょ,じゅ↓うしょ,juusho,address,N,入門,3,4
2100,102,生年月日,せいねんがっぴ,せいねんが↓っぴ,seenengappi,date of birth,N,入門,3,4
2105,103,西暦,せいれき,せいれき○,seereki,Gregorian calendar,N,入門,3,4
2673,108,電話番号,でんわばんごう,でんわば↓んごう,denwa-bangoo,telephone number,N,入門,3,4
2987,106,～日,～にち,～にち,～nichi,day of the month,,入門,3,4
3080,104,～年,～ねん,～ねん,～nen,year,,入門,3,4
3857,109,メール,メール,メール○,meeru,email,N,入門,3,4
3875,110,申込書,もうしこみしょ,もうしこみしょ○,mooshikomisho,application form,N,入門,3,4
100,113,兄,あに,あ↓に,ani,(my) elder brother,N,入門,4,1
104,114,姉,あね,あね○,ane,(my) elder sister,N,入門,4,1
138,123,あれ？,あれ？,あれ？○,are?,Oh? (expresses surprise),Exp,入門,4,1
269,116,妹,いもうと,いもうと↓,imooto,(my) younger sister,N,入門,4,1
599,117,夫,おっと,おっと○,otto,(my) husband,N,入門,4,1
613,115,弟,おとうと,おとうと↓,otooto,(my) younger brother,N,入門,4,1
1402,122,こちら,こちら,こちら○,kochira,this is (used when introducing someone),N,入門,4,1
1420,119,子ども,こども,こども○,kodomo,child,N,入門,4,1
1849,124,紹介します,しょうかいします,しょうかいしま↓す,shookai-shimasu,I will introduce you.,Exp,入門,4,1
1850,121,紹介する,しょうかいする,しょうかいする○,shookai-suru,to introduce,V［3］,入門,4,1
2157,120,～先生,～せんせい,～せんせ↓い,～sensee,～ sensee (suffix for teacher),N,入門,4,1
2447,111,父,ちち,ち↓ち,chichi,(my) father,N,入門,4,1
2552,118,妻,つま,つ↓ま,tsuma,(my) wife,N,入門,4,1
2713,125,（どうぞ）よろしく,（どうぞ）よろしく,（ど↓うぞ）　よろしく○,(doozo) yoroshiku,I look forward to getting to know you.,Exp,入門,4,1
3261,112,母,はは,は↓は,haha,(my) mother,N,入門,4,1
181,130,いくつ,いくつ,い↓くつ,ikutsu,how old (asking age),N,入門,4,2
347,126,うちの,うちの,うちの○,uchi no,my / our,,入門,4,2
851,127,家族／ご家族,かぞく／ごかぞく,か↓ぞく／ごか↓ぞく,kazoku / gokazoku,family / (your) family,N,入門,4,2
1085,153,90,きゅうじゅう,きゅ↓うじゅう,kyuujuu,ninety,N,入門,4,2
1381,149,50,ごじゅう,ごじゅ↓う,gojuu,fifty,N,入門,4,2
1510,131,～歳,～さい,～さい,～sai,～ years old,,入門,4,2
1598,147,30,さんじゅう,さ↓んじゅう,sanjuu,thirty,N,入門,4,2
1745,137,11,じゅういち,じゅういち↓,juu-ichi,eleven,N,入門,4,2
1754,145,19,じゅうきゅう,じゅうきゅ↓う,juu-kyuu,nineteen,N,入門,4,2
1758,141,15,じゅうご,じゅうご↓,juu-go,fifteen,N,入門,4,2
1764,139,13,じゅうさん,じゅうさ↓ん,juu-san,thirteen,N,入門,4,2
1783,143,17,じゅうなな,じゅうな↓な,juu-nana,seventeen,N,入門,4,2
1784,138,12,じゅうに,じゅうに↓,juu-ni,twelve,N,入門,4,2
1792,144,18,じゅうはち,じゅうはち↓,juu-hachi,eighteen,N,入門,4,2
1804,140,14,じゅうよん,じゅうよ↓ん,juu-yon,fourteen,N,入門,4,2
1806,142,16,じゅうろく,じゅうろく↓,juu-roku,sixteen,N,入門,4,2
2078,134,住む,すむ,す↓む,sumu,to live,V［1］,入門,4,2
2086,133,住んでいます,すんでいます,す↓んでいま↓す,sunde imasu,live,,入門,4,2
2181,136,そう,そう,そ↓う,soo,I see. (a casual way of saying そうですか),Exp,入門,4,2
2247,128,それから,それから,それから○,sorekara,and then,,入門,4,2
2750,132,どこ,どこ,ど↓こ,doko,where,N,入門,4,2
2886,151,70,ななじゅう,なな↓じゅう,nanajuu,seventy,N,入門,4,2
2924,129,何歳,なんさい,な↓んさい,nan-sai,how old,N,入門,4,2
2967,146,20,にじゅう,に↓じゅう,nijuu,twenty,N,入門,4,2
2982,154,20歳,にじゅっさい／はたち,にじゅ↓っさい／は↓たち,nijussai / hatachi,twenty years old,N,入門,4,2
3222,152,80,はちじゅう,はちじゅ↓う,hachijuu,eighty,N,入門,4,2
3439,135,フィリピン,フィリピン,フィ↓リピン,Firipin,the Philippines,N,入門,4,2
4083,148,40,よんじゅう,よ↓んじゅう,yonjuu,forty,N,入門,4,2
4191,150,60,ろくじゅう,ろくじゅ↓う,rokujuu,sixty,N,入門,4,2
253,158,犬,いぬ,いぬ↓,inu,dog,N,入門,4,3
548,159,おじいさん,おじいさん,おじ↓いさん,ojiisan,old male ,N,入門,4,3
959,163,かわいいですね,かわいいですね,かわい↓いですね,kawaii desu ne,How cute!,Exp,入門,4,3
1289,155,恋人,こいびと,こいびと○,koibito,boyfriend / girlfriend,N,入門,4,3
2400,157,だれ,だれ,だ↓れ,dare,who,N,入門,4,3
2692,161,東京,とうきょう,とうきょう○,Tookyoo,Tokyo,N,入門,4,3
3007,160,日本,にほん,にほ↓ん,Nihon,Japan,N,入門,4,3
3554,162,へー,へー,へー○,hee,Oh. (expresses slight interest),Exp,入門,4,3
3560,156,ペット,ペット,ペ↓ット,petto,pet,N,入門,4,3
359,165,海,うみ,う↓み,umi,sea / ocean,N,入門,4,4
1521,167,最高,さいこう,さいこう○,saikoo,fantastic,N,入門,4,4
2406,164,誕生日,たんじょうび,たんじょ↓うび,tanjoobi,birthday,N,入門,4,4
2507,168,ツーショット,ツーショット,ツーショ↓ット,tsuushotto,a photograph of two people,N,入門,4,4
2639,166,天気／お天気,てんき／おてんき,て↓んき／おて↓んき,tenki / otenki,weather,N,入門,4,4
1539,169,魚,さかな,さかな○,sakana,fish,N,入門,5,1
2001,172,好きです,すきです,すき↓です,suki desu,I like it.,Exp,入門,5,1
2954,170,肉,にく,にく↓,niku,meat,N,入門,5,1
3957,171,野菜,やさい,やさい○,yasai,vegetable,N,入門,5,1
353,179,うどん,うどん,うどん○,udon,udon noodles,N,入門,5,2
364,182,梅干し,うめぼし,うめぼし○,umeboshi,umeboshi (pickled plum),N,入門,5,2
949,177,カレー,カレー,カレー○,karee,curry ,N,入門,5,2
1091,176,牛丼,ぎゅうどん,ぎゅうどん○,gyuudon,beef bowl,N,入門,5,2
1560,173,刺身,さしみ,さしみ↓,sashimi,sashimi (sliced raw fish),N,入門,5,2
2012,186,すごい！,すごい！,すご↓い！,sugoi !,Wow!,Exp,入門,5,2
2019,174,すし,すし,すし↓,sushi,sushi,N,入門,5,2
2237,180,そば,そば,そ↓ば,soba,soba noodles,N,入門,5,2
2287,188,だいじょうぶですか？,だいじょうぶですか？,だいじょ↓うぶですか？,daijoobu desu ka?,Is it okay?,Exp,入門,5,2
2382,184,食べ物,たべもの,たべも↓の／たべ↓もの,tabemono,food,N,入門,5,2
2663,175,天ぷら,てんぷら,てんぷら○,tenpura,tempura,N,入門,5,2
2877,181,納豆,なっとう,なっと↓う,nattoo,natto (fermented soybeans),N,入門,5,2
2895,185,何,なに,な↓に,nani,what,N,入門,5,2
4091,178,ラーメン,ラーメン,ラ↓ーメン,raamen,ramen noodles,N,入門,5,2
4225,183,わさび,わさび,わ↓さび,wasabi,wasabi (Japanese horseradish),N,入門,5,2
4237,187,～はちょっと…,～はちょっと…,～はちょ↓っと…,～wa chotto…,I don't really like ～.,Exp,入門,5,2
158,198,いえ／いいえ,いえ／いいえ,いえ○／いいえ○,ie / iie,no,,入門,5,3
170,200,いえ、けっこうです,いえ、けっこうです,いえ○、け↓っこうです,"ie, kekkoo desu","No, thank you.",Exp,入門,5,3
542,196,お酒,おさけ,おさけ○,osake,alcohol / sake,N,入門,5,3
588,191,お茶,おちゃ,おちゃ○,ocha,tea / Japanese tea,N,入門,5,3
649,201,～お願いします,～おねがいします,～おねがいしま↓す,～onegaishimasu,～ please.,Exp,入門,5,3
1314,190,紅茶,こうちゃ,こうちゃ○,koocha,black tea,N,入門,5,3
1348,189,コーヒー,コーヒー,コーヒ↓ー,koohii,coffee,N,入門,5,3
1351,194,コーラ,コーラ,コ↓ーラ,koora,cola,N,入門,5,3
1775,193,ジュース,ジュース,ジュ↓ース,juusu,juice,N,入門,5,3
3112,197,飲む／飲みます,のむ／のみます,の↓む／のみま↓す,nomu / nomimasu,to drink,V［1］,入門,5,3
3146,199,はい、お願いします,はい、おねがいします,は↓い、おねがいしま↓す,"hai, onegaishimasu","Yes, please.",Exp,入門,5,3
3326,195,ビール,ビール,ビ↓ール,biiru,beer,N,入門,5,3
3769,192,水,みず,みず○,mizu,water ,N,入門,5,3
51,216,朝ご飯,あさごはん,あさご↓はん,asa-gohan,breakfast,N,入門,5,4
117,219,あまり,あまり,あまり○,amari,rarely,,入門,5,4
247,217,いつも,いつも,い↓つも,itsumo,always,,入門,5,4
381,220,え～！,え～！,え～！○,ee!,Huh?! (expresses surprise),Exp,入門,5,4
710,213,オレンジジュース,オレンジジュース,オレンジジュ↓ース,orenji-juusu,orange juice,N,入門,5,4
1096,211,牛乳,ぎゅうにゅう,ぎゅうにゅう○,gyuunyuu,milk,N,入門,5,4
1172,207,果物,くだもの,くだ↓もの,kudamono,fruit,N,入門,5,4
1433,202,ご飯,ごはん,ご↓はん,gohan,cooked rice,N,入門,5,4
1581,208,サラダ,サラダ,サ↓ラダ,sarada,salad,N,入門,5,4
1936,206,シリアル,シリアル,シ↓リアル,shiriaru,cereal,N,入門,5,4
1991,210,スープ,スープ,ス↓ープ,suupu,soup,N,入門,5,4
2385,215,食べる／食べます,たべる／たべます,たべ↓る／たべま↓す,taberu / tabemasu,to eat,V［2］,入門,5,4
2387,204,卵,たまご,たま↓ご,tamago,egg,N,入門,5,4
2792,212,トマトジュース,トマトジュース,トマトジュ↓ース,tomato-juusu,tomato juice,N,入門,5,4
3287,203,パン,パン,パ↓ン,pan,bread,N,入門,5,4
3781,209,みそ汁,みそしる,みそし↓る,misoshiru,miso soup,N,入門,5,4
4037,205,ヨーグルト,ヨーグルト,ヨーグ↓ルト,yooguruto,yoghurt,N,入門,5,4
4045,218,よく,よく,よ↓く,yoku,often,,入門,5,4
4148,214,りんごジュース,りんごジュース,りんごジュ↓ース,ringo-juusu,apple juice,N,入門,5,4
200,222,いただきます,いただきます,いただきま↓す,itadakimasu,Thank you for the food ! (polite expression said before a meal),Exp,入門,5,5
1105,221,今日,きょう,きょ↓う,kyoo,today,N,入門,5,5
6,237,アイスクリーム,アイスクリーム,アイスクリ↓ーム,aisukuriimu,ice cream,N,入門,6,1
7,241,アイスコーヒー,アイスコーヒー,アイスコーヒ↓ー／アイスコ↓ーヒー,aisu-koohii,iced coffee,N,入門,6,1
90,238,アップルパイ,アップルパイ,アップル↓パイ,appurupai,apple pie,N,入門,6,1
310,242,ウーロン茶,ウーロンちゃ,ウーロ↓ンちゃ,uuroncha,oolong tea,N,入門,6,1
410,233,S,エス,エ↓ス,esu,small,N,入門,6,1
424,234,M,エム,エ↓ム,emu,medium,N,入門,6,1
428,235,L,エル,エ↓ル,eru,large,N,入門,6,1
1355,243,コカコーラ,コカコーラ,コカコ↓ーラ,koka-koora,Coca-Cola,N,入門,6,1
2126,231,セット,セット,セ↓ット,setto,set,N,入門,6,1
2374,225,ダブル,ダブル,ダ↓ブル,daburu,double,N,入門,6,1
2417,230,単品,たんぴん,たんぴん○,tanpin,single item,N,入門,6,1
2425,226,チーズ,チーズ,チ↓ーズ,chiizu,cheese,N,入門,6,1
2440,228,チキン,チキン,チ↓キン,chikin,chicken,N,入門,6,1
2605,236,デザート,デザート,デザ↓ート,dezaato,dessert,N,入門,6,1
2629,227,てりやき,てりやき,てりやき○,teriyaki,teriyaki,N,入門,6,1
2830,239,ドリンク,ドリンク,ドリ↓ンク／ドリンク○,dorinku,drink,N,入門,6,1
3133,224,～バーガー　（ダブルバーガー）,～バーガー  （ダブルバーガー）,～バ↓ーガー  （ダブルバ↓ーガー）,～baagaa　(daburu baagaa),～ burger　(e.g. double burger),N,入門,6,1
3305,223,ハンバーガー,ハンバーガー,ハンバ↓ーガー,hanbaagaa,hamburger,N,入門,6,1
3437,229,フィッシュ,フィッシュ,フィ↓ッシュ,fisshu,fish,N,入門,6,1
3509,232,フライドポテト,フライドポテト,フライドポ↓テト,furaido-poteto,French fries / fried potatoes,N,入門,6,1
3636,240,ホットコーヒー,ホットコーヒー,ホットコーヒ↓ー／ホットコ↓ーヒー,hotto-koohii,hot coffee,N,入門,6,1
276,248,いらっしゃいませ,いらっしゃいませ,いらっしゃいま↓せ,irasshaimase,Welcome.,Exp,入門,6,2
466,249,おうかがいします,おうかがいします,おうかがいしま↓す,oukagaishimasu,Can I take your order? (polite expression),Exp,入門,6,2
685,251,お持ち帰りですね,おもちかえりですね,おもちかえりで↓すね,omochikaeri desu ne,"That's to take out, right? (polite expression)",Exp,入門,6,2
1171,245,～ください,～ください,～くださ↓い,～kudasai,Give me ～.,Exp,入門,6,2
1372,247,ここで,ここで,ここで○,koko de,"Eat in, please.",Exp,入門,6,2
1406,250,こちらでおめしあがりですか？,こちらでおめしあがりですか？,こちらでおめしあがりで↓すか？,kochira de omeshiagari desu ka?,Would you like to eat in? (polite expression),Exp,入門,6,2
1526,244,サイズ,サイズ,サイズ○／サ↓イズ,saizu,size,N,入門,6,2
2576,246,テイクアウトで,テイクアウトで,テイクア↓ウトで,teikuauto de,"To takeout, please.",Exp,入門,6,2
2897,252,何になさいますか？,なにになさいますか？,な↓にになさいま↓すか？,nani ni nasaimasu ka?,What would you like? (polite expression),Exp,入門,6,2
313,254,うーん,うーん,うーん○,uun,Well...　(expresses that the speaker is not sure and is thinking),Exp,入門,6,3
452,257,おいしいです,おいしいです,おいし↓いです,oishii desu,It's delicious.,Exp,入門,6,3
1371,255,ここ、いいですか？,ここ、いいですか？,ここ○、い↓いですか？,"koko, ii desuka?",Can I sit here?,Exp,入門,6,3
2717,256,どうですか？,どうですか？,ど↓うですか？,doo desu ka?,How is it?,Exp,入門,6,3
2966,253,～にします,～にします,～にしま↓す,～ni shimasu,I'll have ～.,Exp,入門,6,3
93,289,あと,あと,あ↓と,ato,and / also,,入門,6,4
131,291,ある／あります,ある／あります,あ↓る／ありま↓す,aru / arimasu,to have,V［1］,入門,6,4
182,303,いくつ,いくつ,い↓くつ,ikutsu,how many (asking quantity),N,入門,6,4
237,298,5つ,いつつ,いつ↓つ,itsutsu,five (for things),N,入門,6,4
312,282,ウーロンハイ,ウーロンハイ,ウーロ↓ンハイ,uuronhai,oolong tea-flavored chu-hi,N,入門,6,4
417,261,枝豆,えだまめ,えだまめ○,edamame,edamame (green soybeans in the pod),N,入門,6,4
540,264,お魚,おさかな,おさかな○,osakana,fish,N,入門,6,4
552,306,おしぼり,おしぼり,おし↓ぼり,oshibori,wet hand towel,N,入門,6,4
600,273,おつまみ,おつまみ,おつ↓まみ,otsumami,snacks,N,入門,6,4
611,288,お問い合わせください,おといあわせください,おといあわせくださ↓い,otoiawase-kudasai,Please ask. (polite expression),Exp,入門,6,4
645,268,お肉,おにく,おに↓く,oniku,meat,N,入門,6,4
688,293,お持ちします,おもちします,おもちしま↓す,omochi-shimasu,I'll bring them to you. (polite expression used by staff),Exp,入門,6,4
930,259,唐揚げ,からあげ,からあげ○,karaage,deep-fried,N,入門,6,4
947,287,カルピス,カルピス,カ↓ルピス,karupisu,Calpis,N,入門,6,4
948,284,カルピスハイ,カルピスハイ,カルピス↓ハイ,karupisuhai,Calpis-flavored chu-hi,N,入門,6,4
1198,308,グラス,グラス,グラス○,gurasu,glass,N,入門,6,4
1250,304,ケチャップ,ケチャップ,ケチャ↓ップ／ケ↓チャップ,kechappu,ketchup,N,入門,6,4
1376,302,9つ,ここのつ,ここ↓のつ,kokonotsu,nine (for things),N,入門,6,4
1522,270,サイコロステーキ,サイコロステーキ,サイコロステ↓ーキ,saikoro-suteeki,diced steak,N,入門,6,4
1561,258,刺身,さしみ,さしみ↓,sashimi,sashimi (sliced raw fish),N,入門,6,4
1629,277,しおから,しおから,しおか↓ら／しおから○,shiokara,shiokara (pickled seafood),N,入門,6,4
1873,279,焼酎,しょうちゅう,しょうちゅ↓う,shoochuu,shochu (Japanese distilled liquor),N,入門,6,4
2056,305,スプーン,スプーン,スプ↓ーン,supuun,spoon,N,入門,6,4
2076,292,すみません,すみません,すみませ↓ん,sumimasen,Excuse me. (used when the speaker wants to start talking to someone),Exp,入門,6,4
2242,285,ソフトドリンク,ソフトドリンク,ソフトドリ↓ンク,sofuto-dorinku,soft drink,N,入門,6,4
2330,276,たこわさ,たこわさ,たこわさ○,takowasa,takowasa (raw octopus seasoned with wasabi),N,入門,6,4
2471,280,酎ハイ,ちゅうハイ,ちゅうハイ○,chuuhai,chu-hi (Japanese distilled liquor mixed with soda water),N,入門,6,4
2666,266,～点盛  （7点盛）,～てんもり　（ななてんもり）,～てんもり○　（ななてんもり○）,～ten-mori　(nana-ten-mori),set of ～ items　(set of seven items),N,入門,6,4
2743,271,特製つくね,とくせいつくね,とくせいつ↓くね,tokusee-tsukune,special tsukune (meatballs),N,入門,6,4
2818,269,とり,とり,とり○,tori,chicken,N,入門,6,4
2827,307,取り皿,とりざら,とり↓ざら,torizara,individual plate,N,入門,6,4
2889,300,7つ,ななつ,なな↓つ,nanatsu,seven (for things),N,入門,6,4
2905,262,生ビール,なまビール,なまビ↓ール,nama-biiru,draft beer,N,入門,6,4
3016,278,日本酒,にほんしゅ,にほんしゅ○,nihonshu,sake (Japanese rice wine),N,入門,6,4
3181,272,馬刺,ばさし,ばさし○,basashi,basashi (horse meat sashimi),N,入門,6,4
3185,309,はし／おはし,はし／おはし,は↓し／おは↓し,hashi / ohashi,chopsticks,N,入門,6,4
3370,294,1つ,ひとつ,ひと↓つ,hitotsu,one (for thing),N,入門,6,4
3394,275,冷やしトマト,ひやしトマト,ひやしト↓マト,hiyashi-tomato,chilled tomatoes,N,入門,6,4
3395,274,冷奴,ひややっこ,ひやや↓っこ,hiyayakko,cold tofu,N,入門,6,4
3485,295,2つ,ふたつ,ふたつ↓,futatsu,two (for things) ,N,入門,6,4
3752,290,マヨネーズ,マヨネーズ,マヨネ↓ーズ,mayoneezu,mayonnaise,N,入門,6,4
3791,296,3つ,みっつ,みっつ↓,mittsu,three (for things),N,入門,6,4
